Estado,Ano,Sorotipo,Casos
Distrito Federal,2014-06,4.0,1
Distrito Federal,2014-06,Sem informação,19986
Distrito Federal,2015-06,1.0,74
Distrito Federal,2015-06,2.0,1
Distrito Federal,2015-06,3.0,2
Distrito Federal,2015-06,Sem informação,12904
Distrito Federal,2016-06,1.0,94
Distrito Federal,2016-06,2.0,26
Distrito Federal,2016-06,3.0,3
Distrito Federal,2016-06,4.0,4
Distrito Federal,2016-06,Sem informação,23900
Distrito Federal,2017-06,1.0,8
Distrito Federal,2017-06,2.0,24
Distrito Federal,2017-06,Sem informação,6460
Distrito Federal,2018-06,1.0,9
Distrito Federal,2018-06,Sem informação,4132
Distrito Federal,2019-06,1.0,295
Distrito Federal,2019-06,2.0,508
Distrito Federal,2019-06,4.0,1
Distrito Federal,2019-06,Sem informação,45446
Distrito Federal,2020-06,1.0,459
Distrito Federal,2020-06,2.0,23
Distrito Federal,2020-06,4.0,3
Distrito Federal,2020-06,Sem informação,64052
Distrito Federal,2021-06,1.0,56
Distrito Federal,2021-06,Sem informação,25410
Distrito Federal,2022-06,1.0,670
Distrito Federal,2022-06,2.0,1
Distrito Federal,2022-06,4.0,1
Distrito Federal,2022-06,Sem informação,72024
Distrito Federal,2023-06,1.0,154
Distrito Federal,2023-06,2.0,604
Distrito Federal,2023-06,3.0,2
Distrito Federal,2023-06,Sem informação,41464
Distrito Federal,2024-06,1.0,987
Distrito Federal,2024-06,2.0,9118
Distrito Federal,2024-06,3.0,5
Distrito Federal,2024-06,Sem informação,197208
Espírito Santo,2007-06,1.0,13
Espírito Santo,2007-06,2.0,1
Espírito Santo,2007-06,3.0,12
Espírito Santo,2007-06,Sem informação,10382
Espírito Santo,2009-06,1.0,15
Espírito Santo,2009-06,2.0,8
Espírito Santo,2009-06,3.0,1
Espírito Santo,2009-06,4.0,1
Espírito Santo,2009-06,Sem informação,51713
Espírito Santo,2010-06,1.0,78
Espírito Santo,2010-06,2.0,42
Espírito Santo,2010-06,3.0,2
Espírito Santo,2010-06,4.0,3
Espírito Santo,2010-06,Sem informação,42034
Espírito Santo,2011-06,1.0,501
Espírito Santo,2011-06,2.0,47
Espírito Santo,2011-06,3.0,6
Espírito Santo,2011-06,4.0,4
Espírito Santo,2011-06,Sem informação,54743
Espírito Santo,2012-06,1.0,107
Espírito Santo,2012-06,2.0,8
Espírito Santo,2012-06,4.0,78
Espírito Santo,2012-06,Sem informação,23827
Espírito Santo,2013-06,1.0,42
Espírito Santo,2013-06,4.0,162
Espírito Santo,2013-06,Sem informação,84119
Espírito Santo,2014-06,1.0,35
Espírito Santo,2014-06,3.0,1
Espírito Santo,2014-06,4.0,12
Espírito Santo,2014-06,Sem informação,25631
Espírito Santo,2015-06,1.0,122
Espírito Santo,2015-06,4.0,9
Espírito Santo,2015-06,Sem informação,44878
Espírito Santo,2016-06,1.0,38
Espírito Santo,2016-06,Sem informação,54955
Espírito Santo,2017-06,1.0,7
Espírito Santo,2017-06,Sem informação,12339
Espírito Santo,2018-06,1.0,11
Espírito Santo,2018-06,2.0,34
Espírito Santo,2018-06,Sem informação,17340
Espírito Santo,2019-06,1.0,18
Espírito Santo,2019-06,2.0,124
Espírito Santo,2019-06,Sem informação,81241
Espírito Santo,2020-06,1.0,1
Espírito Santo,2020-06,2.0,7
Espírito Santo,2020-06,Sem informação,7533
Goiás,2007-06,1.0,40
Goiás,2007-06,2.0,2
Goiás,2007-06,3.0,52
Goiás,2007-06,Sem informação,18309
Goiás,2009-06,1.0,419
Goiás,2009-06,2.0,64
Goiás,2009-06,3.0,45
Goiás,2009-06,4.0,10
Goiás,2009-06,Sem informação,50045
Goiás,2010-06,1.0,552
Goiás,2010-06,2.0,23
Goiás,2010-06,3.0,14
Goiás,2010-06,4.0,9
Goiás,2010-06,Sem informação,115981
Goiás,2011-06,1.0,211
Goiás,2011-06,2.0,6
Goiás,2011-06,4.0,6
Goiás,2011-06,Sem informação,45035
Goiás,2012-06,1.0,201
Goiás,2012-06,2.0,2
Goiás,2012-06,4.0,96
Goiás,2012-06,Sem informação,33528
Goiás,2013-06,1.0,217
Goiás,2013-06,2.0,3
Goiás,2013-06,3.0,2
Goiás,2013-06,4.0,196
Goiás,2013-06,Sem informação,161128
Goiás,2014-06,1.0,294
Goiás,2014-06,2.0,3
Goiás,2014-06,4.0,56
Goiás,2014-06,Sem informação,121892
Goiás,2015-06,1.0,740
Goiás,2015-06,2.0,3
Goiás,2015-06,3.0,2
Goiás,2015-06,4.0,89
Goiás,2015-06,Sem informação,199620
Goiás,2016-06,1.0,157
Goiás,2016-06,2.0,12
Goiás,2016-06,3.0,2
Goiás,2016-06,4.0,27
Goiás,2016-06,Sem informação,157187
Goiás,2017-06,1.0,40
Goiás,2017-06,2.0,148
Goiás,2017-06,3.0,1
Goiás,2017-06,4.0,10
Goiás,2017-06,Sem informação,81002
Goiás,2018-06,1.0,22
Goiás,2018-06,2.0,135
Goiás,2018-06,4.0,5
Goiás,2018-06,Sem informação,110144
Goiás,2019-06,1.0,56
Goiás,2019-06,2.0,495
Goiás,2019-06,4.0,1
Goiás,2019-06,Sem informação,150605
Goiás,2020-06,1.0,70
Goiás,2020-06,2.0,137
Goiás,2020-06,4.0,1
Goiás,2020-06,Sem informação,82630
Goiás,2021-06,1.0,257
Goiás,2021-06,2.0,22
Goiás,2021-06,4.0,5
Goiás,2021-06,Sem informação,83675
Goiás,2022-06,1.0,463
Goiás,2022-06,2.0,17
Goiás,2022-06,4.0,7
Goiás,2022-06,Sem informação,206418
Goiás,2023-06,1.0,256
Goiás,2023-06,2.0,22
Goiás,2023-06,3.0,1
Goiás,2023-06,4.0,2
Goiás,2023-06,Sem informação,70496
Goiás,2024-06,1.0,608
Goiás,2024-06,2.0,929
Goiás,2024-06,4.0,3
Goiás,2024-06,Sem informação,146269
Maranhão,2007-06,1.0,34
Maranhão,2007-06,2.0,15
Maranhão,2007-06,3.0,3
Maranhão,2007-06,4.0,3
Maranhão,2007-06,Sem informação,15847
Maranhão,2009-06,1.0,9
Maranhão,2009-06,3.0,1
Maranhão,2009-06,Sem informação,3844
Maranhão,2010-06,1.0,51
Maranhão,2010-06,2.0,1
Maranhão,2010-06,4.0,3
Maranhão,2010-06,Sem informação,6691
Maranhão,2011-06,1.0,67
Maranhão,2011-06,2.0,1
Maranhão,2011-06,4.0,6
Maranhão,2011-06,Sem informação,14221
Maranhão,2012-06,1.0,2
Maranhão,2012-06,4.0,1
Maranhão,2012-06,Sem informação,6650
Maranhão,2013-06,1.0,15
Maranhão,2013-06,4.0,2
Maranhão,2013-06,Sem informação,4517
Maranhão,2014-06,1.0,24
Maranhão,2014-06,2.0,1
Maranhão,2014-06,3.0,1
Maranhão,2014-06,4.0,3
Maranhão,2014-06,Sem informação,3527
Maranhão,2015-06,1.0,18
Maranhão,2015-06,2.0,2
Maranhão,2015-06,3.0,1
Maranhão,2015-06,Sem informação,9690
Maranhão,2016-06,1.0,17
Maranhão,2016-06,4.0,8
Maranhão,2016-06,Sem informação,29868
Maranhão,2017-06,1.0,6
Maranhão,2017-06,Sem informação,8942
Maranhão,2018-06,1.0,1
Maranhão,2018-06,2.0,1
Maranhão,2018-06,Sem informação,2743
Maranhão,2019-06,1.0,10
Maranhão,2019-06,2.0,6
Maranhão,2019-06,4.0,1
Maranhão,2019-06,Sem informação,6645
Maranhão,2020-06,1.0,2
Maranhão,2020-06,Sem informação,3219
Maranhão,2021-06,1.0,16
Maranhão,2021-06,Sem informação,1711
Maranhão,2022-06,1.0,233
Maranhão,2022-06,2.0,8
Maranhão,2022-06,4.0,3
Maranhão,2022-06,Sem informação,6608
Maranhão,2023-06,1.0,146
Maranhão,2023-06,2.0,10
Maranhão,2023-06,4.0,1
Maranhão,2023-06,Sem informação,4652
Maranhão,2024-06,1.0,23
Maranhão,2024-06,2.0,43
Maranhão,2024-06,3.0,2
Maranhão,2024-06,Sem informação,6547
Mato Grosso,2007-06,1.0,132
Mato Grosso,2007-06,2.0,1
Mato Grosso,2007-06,3.0,2
Mato Grosso,2007-06,4.0,25
Mato Grosso,2007-06,Sem informação,20841
Mato Grosso,2009-06,1.0,121
Mato Grosso,2009-06,2.0,10
Mato Grosso,2009-06,3.0,1
Mato Grosso,2009-06,4.0,5
Mato Grosso,2009-06,Sem informação,63323
Mato Grosso,2010-06,1.0,110
Mato Grosso,2010-06,2.0,5
Mato Grosso,2010-06,3.0,1
Mato Grosso,2010-06,4.0,6
Mato Grosso,2010-06,Sem informação,45496
Mato Grosso,2011-06,1.0,10
Mato Grosso,2011-06,2.0,2
Mato Grosso,2011-06,4.0,1
Mato Grosso,2011-06,Sem informação,10842
Mato Grosso,2012-06,1.0,44
Mato Grosso,2012-06,3.0,1
Mato Grosso,2012-06,4.0,138
Mato Grosso,2012-06,Sem informação,43492
Mato Grosso,2013-06,1.0,16
Mato Grosso,2013-06,2.0,2
Mato Grosso,2013-06,4.0,36
Mato Grosso,2013-06,Sem informação,46027
Mato Grosso,2014-06,1.0,13
Mato Grosso,2014-06,4.0,1
Mato Grosso,2014-06,Sem informação,11845
Mato Grosso,2015-06,1.0,52
Mato Grosso,2015-06,4.0,2
Mato Grosso,2015-06,Sem informação,32165
Mato Grosso,2016-06,1.0,127
Mato Grosso,2016-06,2.0,2
Mato Grosso,2016-06,4.0,1
Mato Grosso,2016-06,Sem informação,31077
Mato Grosso,2017-06,1.0,6
Mato Grosso,2017-06,2.0,2
Mato Grosso,2017-06,Sem informação,12285
Mato Grosso,2018-06,1.0,37
Mato Grosso,2018-06,2.0,1
Mato Grosso,2018-06,4.0,1
Mato Grosso,2018-06,Sem informação,10114
Mato Grosso,2019-06,1.0,69
Mato Grosso,2019-06,2.0,36
Mato Grosso,2019-06,4.0,19
Mato Grosso,2019-06,Sem informação,17966
Mato Grosso,2020-06,1.0,160
Mato Grosso,2020-06,2.0,54
Mato Grosso,2020-06,4.0,2
Mato Grosso,2020-06,Sem informação,47122
Mato Grosso,2021-06,1.0,144
Mato Grosso,2021-06,2.0,23
Mato Grosso,2021-06,4.0,2
Mato Grosso,2021-06,Sem informação,33993
Mato Grosso,2022-06,1.0,155
Mato Grosso,2022-06,2.0,5
Mato Grosso,2022-06,Sem informação,35221
Mato Grosso,2023-06,1.0,241
Mato Grosso,2023-06,2.0,14
Mato Grosso,2023-06,4.0,1
Mato Grosso,2023-06,Sem informação,28341
Mato Grosso,2024-06,1.0,92
Mato Grosso,2024-06,2.0,76
Mato Grosso,2024-06,Sem informação,17115
Mato Grosso do Sul,2007-06,1.0,101
Mato Grosso do Sul,2007-06,3.0,115
Mato Grosso do Sul,2007-06,4.0,2
Mato Grosso do Sul,2007-06,Sem informação,75446
