Região,Ano,Sorotipo,Casos
Sudeste,2009-06,3.0,198
Sudeste,2009-06,4.0,15
Sudeste,2009-06,Sem informação,191215
Sudeste,2010-06,1.0,1813
Sudeste,2010-06,2.0,249
Sudeste,2010-06,3.0,47
Sudeste,2010-06,4.0,38
Sudeste,2010-06,Sem informação,654210
Sudeste,2011-06,1.0,1885
Sudeste,2011-06,2.0,128
Sudeste,2011-06,3.0,18
Sudeste,2011-06,4.0,51
Sudeste,2011-06,Sem informação,549985
Sudeste,2012-06,1.0,656
Sudeste,2012-06,2.0,73
Sudeste,2012-06,3.0,6
Sudeste,2012-06,4.0,1007
Sudeste,2012-06,Sem informação,423067
Sudeste,2013-06,1.0,1645
Sudeste,2013-06,2.0,24
Sudeste,2013-06,3.0,6
Sudeste,2013-06,4.0,1323
Sudeste,2013-06,Sem informação,1254658
Sudeste,2014-06,1.0,1410
Sudeste,2014-06,2.0,13
Sudeste,2014-06,3.0,2
Sudeste,2014-06,4.0,109
Sudeste,2014-06,Sem informação,518921
Sudeste,2015-06,1.0,2531
Sudeste,2015-06,2.0,27
Sudeste,2015-06,3.0,6
Sudeste,2015-06,4.0,178
Sudeste,2015-06,Sem informação,1426968
Sudeste,2016-06,1.0,1060
Sudeste,2016-06,2.0,61
Sudeste,2016-06,3.0,7
Sudeste,2016-06,4.0,76
Sudeste,2016-06,Sem informação,1301558
Sudeste,2017-06,1.0,65
Sudeste,2017-06,2.0,17
Sudeste,2017-06,3.0,7
Sudeste,2017-06,4.0,31
Sudeste,2017-06,Sem informação,174687
Sudeste,2018-06,1.0,154
Sudeste,2018-06,2.0,316
Sudeste,2018-06,3.0,1
Sudeste,2018-06,4.0,4
Sudeste,2018-06,Sem informação,178284
Sudeste,2019-06,1.0,414
Sudeste,2019-06,2.0,2591
Sudeste,2019-06,3.0,5
Sudeste,2019-06,4.0,17
Sudeste,2019-06,Sem informação,1465727
Sudeste,2020-06,1.0,337
Sudeste,2020-06,2.0,1222
Sudeste,2020-06,3.0,1
Sudeste,2020-06,4.0,3
Sudeste,2020-06,Sem informação,560387
Sudeste,2021-06,1.0,529
Sudeste,2021-06,2.0,337
Sudeste,2021-06,4.0,1
Sudeste,2021-06,Sem informação,406086
Sudeste,2022-06,1.0,3245
Sudeste,2022-06,2.0,683
Sudeste,2022-06,4.0,1
Sudeste,2022-06,Sem informação,447480
Sudeste,2023-06,1.0,17529
Sudeste,2023-06,2.0,2403
Sudeste,2023-06,3.0,17
Sudeste,2023-06,4.0,8
Sudeste,2023-06,Sem informação,773892
Sudeste,2024-06,1.0,27045
Sudeste,2024-06,2.0,4898
Sudeste,2024-06,3.0,116
Sudeste,2024-06,4.0,8
Sudeste,2024-06,Sem informação,1745899
Sul,2007-06,1.0,86
Sul,2007-06,3.0,58
Sul,2007-06,4.0,11
Sul,2007-06,Sem informação,53446
Sul,2009-06,1.0,5
Sul,2009-06,2.0,2
Sul,2009-06,4.0,4
Sul,2009-06,Sem informação,11369
Sul,2010-06,1.0,300
Sul,2010-06,2.0,51
Sul,2010-06,4.0,27
Sul,2010-06,Sem informação,72586
Sul,2011-06,1.0,184
Sul,2011-06,2.0,11
Sul,2011-06,4.0,3
Sul,2011-06,Sem informação,70112
Sul,2012-06,1.0,81
Sul,2012-06,2.0,1
Sul,2012-06,4.0,16
Sul,2012-06,Sem informação,18897
Sul,2013-06,1.0,346
Sul,2013-06,2.0,51
Sul,2013-06,4.0,110
Sul,2013-06,Sem informação,116129
Sul,2014-06,1.0,259
Sul,2014-06,2.0,1
Sul,2014-06,4.0,6
Sul,2014-06,Sem informação,57451
Sul,2015-06,1.0,447
Sul,2015-06,2.0,2
Sul,2015-06,4.0,20
Sul,2015-06,Sem informação,113254
Sul,2016-06,1.0,1976
Sul,2016-06,2.0,7
Sul,2016-06,3.0,27
Sul,2016-06,4.0,6
Sul,2016-06,Sem informação,157061
Sul,2017-06,1.0,8
Sul,2017-06,2.0,1
Sul,2017-06,4.0,1
Sul,2017-06,Sem informação,31173
Sul,2018-06,1.0,51
Sul,2018-06,2.0,42
Sul,2018-06,4.0,1
Sul,2018-06,Sem informação,20535
Sul,2019-06,1.0,2247
Sul,2019-06,2.0,3277
Sul,2019-06,4.0,356
Sul,2019-06,Sem informação,119325
Sul,2020-06,1.0,662
Sul,2020-06,2.0,2449
Sul,2020-06,3.0,2
Sul,2020-06,4.0,20
Sul,2020-06,Sem informação,386439
Sul,2021-06,1.0,726
Sul,2021-06,2.0,336
Sul,2021-06,Sem informação,137755
Sul,2022-06,1.0,7916
Sul,2022-06,2.0,491
Sul,2022-06,3.0,1
Sul,2022-06,4.0,4
Sul,2022-06,Sem informação,300340
Sul,2023-06,1.0,10331
Sul,2023-06,2.0,180
Sul,2023-06,3.0,2
Sul,2023-06,Sem informação,381200
Sul,2024-06,1.0,7384
Sul,2024-06,2.0,1576
Sul,2024-06,3.0,105
Sul,2024-06,4.0,5
Sul,2024-06,Sem informação,477116
