Estado,Período,Sorotipo,Casos,Ano
Goiás,2010-05,Sem informacao,9524,2010-06
Pernambuco,2010-05,Sem informacao,10789,2010-06
Pernambuco,2010-05,4.0,1,2010-06
Pernambuco,2010-05,2.0,3,2010-06
Roraima,2010-05,1.0,16,2010-06
Maranhão,2010-05,Sem informacao,521,2010-06
Amapá,2010-05,4.0,1,2010-06
Espírito Santo,2010-06,1.0,11,2010-06
Piauí,2010-06,2.0,4,2010-06
Piauí,2010-06,1.0,14,2010-06
Distrito Federal,2010-06,Sem informacao,1311,2010-06
Distrito Federal,2010-06,4.0,1,2010-06
Rio Grande do Sul,2010-06,Sem informacao,59,2010-06
Rio Grande do Sul,2010-06,2.0,1,2010-06
Goiás,2010-06,1.0,22,2010-06
Minas Gerais,2010-06,Sem informacao,11765,2010-06
Goiás,2010-06,Sem informacao,3785,2010-06
São Paulo,2010-06,Sem informacao,11397,2010-06
São Paulo,2010-06,4.0,4,2010-06
São Paulo,2010-06,2.0,1,2010-06
São Paulo,2010-06,1.0,6,2010-06
Pará,2010-06,Sem informacao,1486,2010-06
Pará,2010-06,2.0,9,2010-06
Pará,2010-06,1.0,3,2010-06
Santa Catarina,2010-06,Sem informacao,38,2010-06
Espírito Santo,2010-06,Sem informacao,4976,2010-06
Espírito Santo,2010-06,3.0,1,2010-06
Maranhão,2010-06,1.0,3,2010-06
Maranhão,2010-06,Sem informacao,589,2010-06
Ceará,2010-06,Sem informacao,3060,2010-06
Ceará,2010-06,2.0,1,2010-06
Ceará,2010-06,1.0,11,2010-06
Tocantins,2010-06,4.0,2,2010-06
Piauí,2010-06,4.0,1,2010-06
Tocantins,2010-06,Sem informacao,867,2010-06
Piauí,2010-06,Sem informacao,1189,2010-06
Mato Grosso,2010-06,Sem informacao,785,2010-06
Minas Gerais,2010-06,2.0,2,2010-06
Minas Gerais,2010-06,1.0,15,2010-06
Roraima,2010-06,Sem informacao,2448,2010-06
Roraima,2010-06,4.0,1,2010-06
Roraima,2010-06,2.0,12,2010-06
Roraima,2010-06,1.0,19,2010-06
Bahia,2010-06,1.0,78,2010-06
Bahia,2010-06,2.0,45,2010-06
Bahia,2010-06,4.0,4,2010-06
Bahia,2010-06,Sem informacao,7538,2010-06
Paraná,2010-06,1.0,7,2010-06
Paraná,2010-06,Sem informacao,1986,2010-06
Espírito Santo,2010-06,2.0,4,2010-06
Rondônia,2010-06,Sem informacao,320,2010-06
Rondônia,2010-06,1.0,6,2010-06
Alagoas,2010-06,Sem informacao,7788,2010-06
Rio de Janeiro,2010-06,1.0,4,2010-06
Rio de Janeiro,2010-06,2.0,3,2010-06
Rio de Janeiro,2010-06,3.0,1,2010-06
Rio de Janeiro,2010-06,Sem informacao,5288,2010-06
Alagoas,2010-06,1.0,8,2010-06
Rio Grande do Norte,2010-06,1.0,3,2010-06
Rio Grande do Norte,2010-06,2.0,1,2010-06
Rio Grande do Norte,2010-06,4.0,2,2010-06
Rio Grande do Norte,2010-06,Sem informacao,1087,2010-06
Mato Grosso,2010-06,1.0,2,2010-06
Amapá,2010-06,1.0,1,2010-06
Goiás,2010-06,2.0,1,2010-06
Amapá,2010-06,Sem informacao,388,2010-06
Pernambuco,2010-06,2.0,5,2010-06
Paraíba,2010-06,1.0,9,2010-06
Paraíba,2010-06,4.0,3,2010-06
Amapá,2010-06,4.0,1,2010-06
Paraíba,2010-06,Sem informacao,1175,2010-06
Pernambuco,2010-06,1.0,33,2010-06
Pernambuco,2010-06,4.0,7,2010-06
Mato Grosso do Sul,2010-06,1.0,26,2010-06
Mato Grosso do Sul,2010-06,Sem informacao,1034,2010-06
Sergipe,2010-06,Sem informacao,195,2010-06
Acre,2010-06,Sem informacao,1580,2010-06
Acre,2010-06,1.0,3,2010-06
Amazonas,2010-06,Sem informacao,817,2010-06
Amazonas,2010-06,1.0,2,2010-06
Mato Grosso do Sul,2010-06,2.0,1,2010-06
Pernambuco,2010-06,Sem informacao,11757,2010-06
Minas Gerais,2010-06,4.0,1,2010-06
Rio Grande do Norte,2010-07,Sem informacao,1576,2010-06
Piauí,2010-07,2.0,2,2010-06
Piauí,2010-07,1.0,12,2010-06
Tocantins,2010-07,Sem informacao,401,2010-06
Tocantins,2010-07,1.0,2,2010-06
Amapá,2010-07,4.0,1,2010-06
Distrito Federal,2010-07,Sem informacao,515,2010-06
Amapá,2010-07,Sem informacao,368,2010-06
Pernambuco,2010-07,1.0,22,2010-06
Rio Grande do Sul,2010-07,Sem informacao,70,2010-06
Paraíba,2010-07,3.0,1,2010-06
Paraíba,2010-07,4.0,1,2010-06
Paraíba,2010-07,Sem informacao,1339,2010-06
Goiás,2010-07,1.0,11,2010-06
Goiás,2010-07,2.0,1,2010-06
São Paulo,2010-07,Sem informacao,5345,2010-06
São Paulo,2010-07,3.0,1,2010-06
São Paulo,2010-07,2.0,2,2010-06
São Paulo,2010-07,1.0,31,2010-06
Roraima,2010-07,Sem informacao,1390,2010-06
Acre,2010-07,1.0,2,2010-06
Amazonas,2010-07,Sem informacao,983,2010-06
Piauí,2010-07,3.0,2,2010-06
Piauí,2010-07,Sem informacao,1048,2010-06
Bahia,2010-07,1.0,51,2010-06
Bahia,2010-07,2.0,15,2010-06
Alagoas,2010-07,1.0,14,2010-06
Rondônia,2010-07,Sem informacao,199,2010-06
Mato Grosso do Sul,2010-07,Sem informacao,597,2010-06
Sergipe,2010-07,Sem informacao,153,2010-06
Rio de Janeiro,2010-07,1.0,4,2010-06
Rio de Janeiro,2010-07,2.0,4,2010-06
Rio de Janeiro,2010-07,Sem informacao,3886,2010-06
Mato Grosso do Sul,2010-07,1.0,8,2010-06
Bahia,2010-07,Sem informacao,4699,2010-06
Alagoas,2010-07,2.0,1,2010-06
Amazonas,2010-07,2.0,2,2010-06
Alagoas,2010-07,Sem informacao,6065,2010-06
Paraná,2010-07,Sem informacao,1211,2010-06
Mato Grosso,2010-07,Sem informacao,549,2010-06
Mato Grosso,2010-07,3.0,1,2010-06
Paraíba,2010-07,1.0,8,2010-06
Rio Grande do Norte,2010-07,1.0,3,2010-06
Rio Grande do Norte,2010-07,2.0,2,2010-06
Rio Grande do Norte,2010-07,4.0,3,2010-06
Paraná,2010-07,4.0,1,2010-06
Paraná,2010-07,1.0,3,2010-06
Bahia,2010-07,3.0,1,2010-06
Bahia,2010-07,4.0,3,2010-06
Pará,2010-07,Sem informacao,1201,2010-06
Rondônia,2010-07,1.0,2,2010-06
Goiás,2010-07,Sem informacao,1612,2010-06
Ceará,2010-07,1.0,12,2010-06
Santa Catarina,2010-07,Sem informacao,21,2010-06
Ceará,2010-07,2.0,4,2010-06
Pernambuco,2010-07,Sem informacao,10190,2010-06
Pernambuco,2010-07,2.0,1,2010-06
Espírito Santo,2010-07,Sem informacao,3139,2010-06
Ceará,2010-07,Sem informacao,2630,2010-06
Maranhão,2010-07,1.0,18,2010-06
Maranhão,2010-07,Sem informacao,632,2010-06
Roraima,2010-07,4.0,3,2010-06
Pernambuco,2010-07,4.0,10,2010-06
Goiás,2010-07,3.0,1,2010-06
Espírito Santo,2010-07,1.0,12,2010-06
Espírito Santo,2010-07,2.0,7,2010-06
Roraima,2010-07,1.0,25,2010-06
Roraima,2010-07,2.0,5,2010-06
Pará,2010-07,3.0,1,2010-06
Acre,2010-07,Sem informacao,1374,2010-06
Minas Gerais,2010-07,Sem informacao,3715,2010-06
Pará,2010-07,1.0,8,2010-06
Pará,2010-07,2.0,1,2010-06
Minas Gerais,2010-07,1.0,16,2010-06
Amazonas,2010-07,1.0,1,2010-06
Alagoas,2010-08,Sem informacao,3767,2010-06
Pará,2010-08,1.0,8,2010-06
Paraná,2010-08,4.0,2,2010-06
Paraná,2010-08,Sem informacao,993,2010-06
Ceará,2010-08,Sem informacao,2463,2010-06
Mato Grosso,2010-08,Sem informacao,466,2010-06
Minas Gerais,2010-08,Sem informacao,2011,2010-06
Tocantins,2010-08,Sem informacao,356,2010-06
Pernambuco,2010-08,3.0,1,2010-06
Pernambuco,2010-08,Sem informacao,6520,2010-06
Ceará,2010-08,4.0,2,2010-06
Alagoas,2010-08,1.0,4,2010-06
Bahia,2010-08,2.0,5,2010-06
Bahia,2010-08,Sem informacao,2892,2010-06
Mato Grosso do Sul,2010-08,1.0,6,2010-06
Rondônia,2010-08,1.0,2,2010-06
Maranhão,2010-08,Sem informacao,1338,2010-06
Rondônia,2010-08,2.0,1,2010-06
Maranhão,2010-08,1.0,22,2010-06
Sergipe,2010-08,Sem informacao,204,2010-06
Rondônia,2010-08,4.0,1,2010-06
Amapá,2010-08,1.0,7,2010-06
Amapá,2010-08,Sem informacao,626,2010-06
Minas Gerais,2010-08,1.0,2,2010-06
Rio de Janeiro,2010-08,1.0,1,2010-06
Rio de Janeiro,2010-08,4.0,1,2010-06
Rio de Janeiro,2010-08,Sem informacao,2920,2010-06
Rondônia,2010-08,Sem informacao,174,2010-06
Bahia,2010-08,1.0,48,2010-06
Bahia,2010-08,3.0,1,2010-06
Bahia,2010-08,4.0,4,2010-06
Ceará,2010-08,1.0,4,2010-06
Rio Grande do Norte,2010-08,1.0,6,2010-06
Goiás,2010-08,2.0,1,2010-06
Rio Grande do Norte,2010-08,Sem informacao,1340,2010-06
Mato Grosso do Sul,2010-08,Sem informacao,492,2010-06
Rio Grande do Sul,2010-08,Sem informacao,102,2010-06
Roraima,2010-08,Sem informacao,1362,2010-06
Santa Catarina,2010-08,Sem informacao,27,2010-06
Paraíba,2010-08,1.0,6,2010-06
Paraíba,2010-08,4.0,3,2010-06
Roraima,2010-08,4.0,11,2010-06
Roraima,2010-08,2.0,8,2010-06
São Paulo,2010-08,Sem informacao,4177,2010-06
Rio Grande do Norte,2010-08,4.0,1,2010-06
São Paulo,2010-08,1.0,14,2010-06
Espírito Santo,2010-08,2.0,1,2010-06
Espírito Santo,2010-08,Sem informacao,2837,2010-06
Acre,2010-08,Sem informacao,721,2010-06
Paraíba,2010-08,Sem informacao,1007,2010-06
Roraima,2010-08,1.0,21,2010-06
Acre,2010-08,1.0,2,2010-06
Amazonas,2010-08,1.0,6,2010-06
Pará,2010-08,Sem informacao,1795,2010-06
Pará,2010-08,2.0,4,2010-06
Espírito Santo,2010-08,1.0,14,2010-06
Distrito Federal,2010-08,Sem informacao,320,2010-06
Goiás,2010-08,1.0,3,2010-06
Pernambuco,2010-08,1.0,17,2010-06
Goiás,2010-08,Sem informacao,1590,2010-06
Amazonas,2010-08,2.0,2,2010-06
Amazonas,2010-08,Sem informacao,852,2010-06
Piauí,2010-08,Sem informacao,692,2010-06
Piauí,2010-08,4.0,1,2010-06
Piauí,2010-08,2.0,1,2010-06
Piauí,2010-08,1.0,10,2010-06
Pernambuco,2010-08,2.0,3,2010-06
Pernambuco,2010-09,2.0,1,2010-06
Pernambuco,2010-09,1.0,10,2010-06
Minas Gerais,2010-09,Sem informacao,1871,2010-06
Minas Gerais,2010-09,3.0,1,2010-06
Minas Gerais,2010-09,1.0,1,2010-06
Roraima,2010-09,4.0,7,2010-06
Paraná,2010-09,1.0,1,2010-06
Paraná,2010-09,Sem informacao,1403,2010-06
Amazonas,2010-09,Sem informacao,565,2010-06
Alagoas,2010-09,Sem informacao,2410,2010-06
Rondônia,2010-09,1.0,10,2010-06
Rondônia,2010-09,Sem informacao,149,2010-06
Alagoas,2010-09,1.0,2,2010-06
Roraima,2010-09,Sem informacao,806,2010-06
Roraima,2010-09,2.0,2,2010-06
Mato Grosso do Sul,2010-09,Sem informacao,766,2010-06
Roraima,2010-09,1.0,6,2010-06
Piauí,2010-09,1.0,3,2010-06
Espírito Santo,2010-09,1.0,3,2010-06
Rio Grande do Norte,2010-09,1.0,8,2010-06
Goiás,2010-09,Sem informacao,2121,2010-06
Rio Grande do Norte,2010-09,Sem informacao,936,2010-06
Goiás,2010-09,1.0,4,2010-06
Piauí,2010-09,Sem informacao,517,2010-06
Santa Catarina,2010-09,Sem informacao,15,2010-06
Pará,2010-09,1.0,7,2010-06
Paraíba,2010-09,1.0,7,2010-06
Espírito Santo,2010-09,Sem informacao,1909,2010-06
Pará,2010-09,4.0,1,2010-06
Distrito Federal,2010-09,Sem informacao,272,2010-06
Distrito Federal,2010-09,1.0,1,2010-06
Rio Grande do Sul,2010-09,Sem informacao,80,2010-06
Pará,2010-09,Sem informacao,1668,2010-06
São Paulo,2010-09,Sem informacao,4849,2010-06
São Paulo,2010-09,1.0,7,2010-06
Pará,2010-09,2.0,1,2010-06
Mato Grosso,2010-09,Sem informacao,501,2010-06
Paraíba,2010-09,Sem informacao,828,2010-06
Tocantins,2010-09,Sem informacao,185,2010-06
Pernambuco,2010-09,Sem informacao,2767,2010-06
Sergipe,2010-09,Sem informacao,159,2010-06
Rio de Janeiro,2010-09,1.0,3,2010-06
Rio de Janeiro,2010-09,3.0,1,2010-06
Rio de Janeiro,2010-09,Sem informacao,1892,2010-06
Bahia,2010-09,1.0,22,2010-06
Bahia,2010-09,2.0,2,2010-06
Bahia,2010-09,4.0,1,2010-06
Acre,2010-09,Sem informacao,906,2010-06
Bahia,2010-09,Sem informacao,1798,2010-06
Maranhão,2010-09,1.0,3,2010-06
Amapá,2010-09,Sem informacao,472,2010-06
Ceará,2010-09,1.0,1,2010-06
Ceará,2010-09,2.0,1,2010-06
Ceará,2010-09,4.0,1,2010-06
Ceará,2010-09,Sem informacao,2484,2010-06
Maranhão,2010-09,Sem informacao,1052,2010-06
Acre,2010-10,1.0,1,2010-06
Acre,2010-10,Sem informacao,1201,2010-06
Espírito Santo,2010-10,2.0,2,2010-06
Goiás,2010-10,1.0,11,2010-06
Distrito Federal,2010-10,Sem informacao,310,2010-06
Espírito Santo,2010-10,4.0,1,2010-06
Bahia,2010-10,1.0,1,2010-06
Bahia,2010-10,2.0,1,2010-06
Bahia,2010-10,4.0,1,2010-06
Alagoas,2010-10,Sem informacao,1580,2010-06
Bahia,2010-10,Sem informacao,1382,2010-06
Pernambuco,2010-10,1.0,3,2010-06
Tocantins,2010-10,Sem informacao,285,2010-06
Goiás,2010-10,Sem informacao,2799,2010-06
Mato Grosso do Sul,2010-10,Sem informacao,680,2010-06
Rio Grande do Norte,2010-10,1.0,10,2010-06
Rio Grande do Norte,2010-10,2.0,2,2010-06
Pernambuco,2010-10,4.0,1,2010-06
Pernambuco,2010-10,Sem informacao,1400,2010-06
Rio Grande do Norte,2010-10,Sem informacao,820,2010-06
Espírito Santo,2010-10,Sem informacao,1440,2010-06
Rio Grande do Sul,2010-10,Sem informacao,69,2010-06
Goiás,2010-10,2.0,1,2010-06
Rondônia,2010-10,1.0,6,2010-06
Minas Gerais,2010-10,Sem informacao,1544,2010-06
Rio de Janeiro,2010-10,1.0,1,2010-06
Rio de Janeiro,2010-10,Sem informacao,931,2010-06
Amapá,2010-10,Sem informacao,410,2010-06
Amapá,2010-10,4.0,1,2010-06
Amapá,2010-10,1.0,1,2010-06
Paraíba,2010-10,1.0,3,2010-06
Paraíba,2010-10,Sem informacao,627,2010-06
Mato Grosso,2010-10,1.0,1,2010-06
Piauí,2010-10,Sem informacao,245,2010-06
Maranhão,2010-10,Sem informacao,588,2010-06
Pará,2010-10,Sem informacao,1732,2010-06
Espírito Santo,2010-10,1.0,2,2010-06
Pará,2010-10,4.0,1,2010-06
Pará,2010-10,1.0,7,2010-06
Minas Gerais,2010-10,1.0,2,2010-06
Maranhão,2010-10,4.0,1,2010-06
Maranhão,2010-10,1.0,1,2010-06
Ceará,2010-10,1.0,1,2010-06
Ceará,2010-10,4.0,1,2010-06
Ceará,2010-10,Sem informacao,2928,2010-06
São Paulo,2010-10,Sem informacao,4135,2010-06
São Paulo,2010-10,4.0,2,2010-06
São Paulo,2010-10,1.0,2,2010-06
Santa Catarina,2010-10,Sem informacao,23,2010-06
Pará,2010-10,2.0,6,2010-06
Rondônia,2010-10,Sem informacao,200,2010-06
Mato Grosso,2010-10,Sem informacao,494,2010-06
Sergipe,2010-10,Sem informacao,132,2010-06
Roraima,2010-10,Sem informacao,435,2010-06
Roraima,2010-10,1.0,3,2010-06
Sergipe,2010-10,1.0,1,2010-06
Paraná,2010-10,Sem informacao,1216,2010-06
Amazonas,2010-10,Sem informacao,677,2010-06
Amazonas,2010-10,1.0,1,2010-06
Amazonas,2010-11,Sem informacao,1053,2010-06
Pará,2010-11,1.0,31,2010-06
Pará,2010-11,2.0,1,2010-06
Pará,2010-11,Sem informacao,2535,2010-06
Goiás,2010-11,2.0,1,2010-06
Goiás,2010-11,Sem informacao,3083,2010-06
Distrito Federal,2010-11,Sem informacao,197,2010-06
Maranhão,2010-11,Sem informacao,404,2010-06
Rio Grande do Norte,2010-11,Sem informacao,854,2010-06
Rio Grande do Norte,2010-11,2.0,2,2010-06
Paraná,2010-11,Sem informacao,1541,2010-06
Roraima,2010-11,4.0,1,2010-06
Goiás,2010-11,1.0,18,2010-06
Rio Grande do Sul,2010-11,Sem informacao,144,2010-06
Rio Grande do Norte,2010-11,1.0,7,2010-06
Espírito Santo,2010-11,Sem informacao,1984,2010-06
Piauí,2010-11,1.0,2,2010-06
Espírito Santo,2010-11,1.0,4,2010-06
São Paulo,2010-11,Sem informacao,5556,2010-06
Amazonas,2010-11,1.0,6,2010-06
Mato Grosso do Sul,2010-11,1.0,3,2010-06
Ceará,2010-11,1.0,6,2010-06
São Paulo,2010-11,3.0,1,2010-06
São Paulo,2010-11,1.0,4,2010-06
Mato Grosso do Sul,2010-11,Sem informacao,1043,2010-06
Minas Gerais,2010-11,Sem informacao,2132,2010-06
Minas Gerais,2010-11,1.0,3,2010-06
Santa Catarina,2010-11,Sem informacao,28,2010-06
Ceará,2010-11,Sem informacao,3441,2010-06
Amazonas,2010-11,4.0,3,2010-06
Piauí,2010-11,Sem informacao,250,2010-06
Acre,2010-11,Sem informacao,3289,2010-06
Pernambuco,2010-11,4.0,1,2010-06
Rondônia,2010-11,1.0,3,2010-06
Rondônia,2010-11,Sem informacao,891,2010-06
Rio de Janeiro,2010-11,3.0,1,2010-06
Sergipe,2010-11,Sem informacao,195,2010-06
Paraíba,2010-11,1.0,1,2010-06
Paraíba,2010-11,Sem informacao,572,2010-06
Pernambuco,2010-11,Sem informacao,1348,2010-06
Bahia,2010-11,1.0,8,2010-06
Bahia,2010-11,2.0,1,2010-06
Bahia,2010-11,4.0,1,2010-06
Bahia,2010-11,Sem informacao,2057,2010-06
Rio de Janeiro,2010-11,2.0,1,2010-06
Mato Grosso,2010-11,Sem informacao,1067,2010-06
Amapá,2010-11,Sem informacao,275,2010-06
Acre,2010-11,1.0,2,2010-06
Roraima,2010-11,Sem informacao,373,2010-06
Alagoas,2010-11,Sem informacao,1359,2010-06
Paraná,2010-11,1.0,7,2010-06
Tocantins,2010-11,Sem informacao,978,2010-06
Pernambuco,2010-11,1.0,9,2010-06
Rio de Janeiro,2010-11,1.0,3,2010-06
Rio de Janeiro,2010-11,Sem informacao,1479,2010-06
Sergipe,2010-12,Sem informacao,251,2010-06
Amapá,2010-12,Sem informacao,223,2010-06
Mato Grosso do Sul,2010-12,Sem informacao,1401,2010-06
Amazonas,2010-12,Sem informacao,2042,2010-06
Amazonas,2010-12,4.0,2,2010-06
Amazonas,2010-12,2.0,1,2010-06
Acre,2010-12,Sem informacao,6437,2010-06
Acre,2010-12,1.0,3,2010-06
Paraíba,2010-12,1.0,2,2010-06
Paraíba,2010-12,Sem informacao,545,2010-06
Goiás,2010-12,1.0,19,2010-06
Goiás,2010-12,2.0,1,2010-06
Goiás,2010-12,Sem informacao,4473,2010-06
Tocantins,2010-12,Sem informacao,1252,2010-06
Tocantins,2010-12,4.0,1,2010-06
Maranhão,2010-12,1.0,1,2010-06
Maranhão,2010-12,2.0,1,2010-06
Pernambuco,2010-12,Sem informacao,1376,2010-06
Tocantins,2010-12,1.0,3,2010-06
Maranhão,2010-12,Sem informacao,339,2010-06
Pernambuco,2010-12,1.0,7,2010-06
Sergipe,2010-12,1.0,1,2010-06
Amazonas,2010-12,1.0,22,2010-06
São Paulo,2010-12,Sem informacao,7111,2010-06
Ceará,2010-12,Sem informacao,5087,2010-06
Piauí,2010-12,Sem informacao,359,2010-06
Ceará,2010-12,1.0,1,2010-06
Mato Grosso,2010-12,1.0,1,2010-06
Mato Grosso,2010-12,4.0,5,2010-06
Mato Grosso,2010-12,Sem informacao,1814,2010-06
Rio de Janeiro,2010-12,Sem informacao,3116,2010-06
Rio de Janeiro,2010-12,3.0,1,2010-06
Rio de Janeiro,2010-12,1.0,8,2010-06
Paraná,2010-12,Sem informacao,2809,2010-06
Paraná,2010-12,4.0,3,2010-06
Piauí,2010-12,1.0,2,2010-06
Paraná,2010-12,2.0,1,2010-06
Alagoas,2010-12,Sem informacao,687,2010-06
Rondônia,2010-12,1.0,33,2010-06
Rondônia,2010-12,Sem informacao,1488,2010-06
Roraima,2010-12,4.0,3,2010-06
Espírito Santo,2010-12,4.0,1,2010-06
Espírito Santo,2010-12,3.0,1,2010-06
Espírito Santo,2010-12,1.0,4,2010-06
Minas Gerais,2010-12,Sem informacao,3941,2010-06
Minas Gerais,2010-12,4.0,2,2010-06
Minas Gerais,2010-12,1.0,1,2010-06
Paraná,2010-12,1.0,95,2010-06
Pará,2010-12,Sem informacao,2805,2010-06
Roraima,2010-12,Sem informacao,407,2010-06
Bahia,2010-12,1.0,15,2010-06
Distrito Federal,2010-12,Sem informacao,229,2010-06
Pará,2010-12,4.0,4,2010-06
Pará,2010-12,2.0,1,2010-06
Pará,2010-12,1.0,31,2010-06
Rio Grande do Norte,2010-12,Sem informacao,944,2010-06
Rio Grande do Sul,2010-12,Sem informacao,153,2010-06
São Paulo,2010-12,1.0,13,2010-06
Bahia,2010-12,2.0,6,2010-06
Rio Grande do Norte,2010-12,1.0,4,2010-06
Espírito Santo,2010-12,Sem informacao,3422,2010-06
Santa Catarina,2010-12,Sem informacao,56,2010-06
Bahia,2010-12,Sem informacao,2850,2010-06
Minas Gerais,2011-01,Sem informacao,7206,2011-06
Distrito Federal,2011-01,Sem informacao,448,2011-06
Minas Gerais,2011-01,4.0,1,2011-06
Minas Gerais,2011-01,1.0,15,2011-06
Espírito Santo,2011-01,1.0,17,2011-06
Espírito Santo,2011-01,Sem informacao,3954,2011-06
Espírito Santo,2011-01,3.0,5,2011-06
Espírito Santo,2011-01,2.0,1,2011-06
Mato Grosso do Sul,2011-01,1.0,5,2011-06
Mato Grosso do Sul,2011-01,Sem informacao,2348,2011-06
Pernambuco,2011-01,1.0,6,2011-06
Goiás,2011-01,1.0,52,2011-06
Acre,2011-01,1.0,3,2011-06
Pernambuco,2011-01,4.0,1,2011-06
Piauí,2011-01,1.0,1,2011-06
Piauí,2011-01,4.0,3,2011-06
Maranhão,2011-01,1.0,2,2011-06
Maranhão,2011-01,Sem informacao,1427,2011-06
Paraíba,2011-01,Sem informacao,869,2011-06
Paraíba,2011-01,1.0,10,2011-06
Piauí,2011-01,Sem informacao,986,2011-06
Pará,2011-01,1.0,54,2011-06
Pernambuco,2011-01,Sem informacao,1704,2011-06
Pará,2011-01,4.0,5,2011-06
Goiás,2011-01,Sem informacao,5387,2011-06
Goiás,2011-01,2.0,4,2011-06
Mato Grosso,2011-01,1.0,1,2011-06
Mato Grosso,2011-01,Sem informacao,2115,2011-06
Paraná,2011-01,Sem informacao,5380,2011-06
Paraná,2011-01,1.0,3,2011-06
Rio Grande do Norte,2011-01,1.0,6,2011-06
Rio Grande do Norte,2011-01,Sem informacao,1276,2011-06
Pará,2011-01,Sem informacao,4859,2011-06
Pará,2011-01,2.0,8,2011-06
Acre,2011-01,Sem informacao,10446,2011-06
Rondônia,2011-01,1.0,4,2011-06
Rio Grande do Sul,2011-01,Sem informacao,180,2011-06
São Paulo,2011-01,2.0,2,2011-06
São Paulo,2011-01,4.0,1,2011-06
São Paulo,2011-01,Sem informacao,12368,2011-06
Alagoas,2011-01,Sem informacao,683,2011-06
Alagoas,2011-01,1.0,2,2011-06
Tocantins,2011-01,Sem informacao,1854,2011-06
São Paulo,2011-01,1.0,39,2011-06
Bahia,2011-01,Sem informacao,3968,2011-06
Bahia,2011-01,2.0,3,2011-06
Rondônia,2011-01,Sem informacao,1218,2011-06
Bahia,2011-01,1.0,28,2011-06
Roraima,2011-01,1.0,3,2011-06
Roraima,2011-01,4.0,1,2011-06
Roraima,2011-01,Sem informacao,346,2011-06
Santa Catarina,2011-01,Sem informacao,81,2011-06
Bahia,2011-01,4.0,3,2011-06
Amapá,2011-01,Sem informacao,748,2011-06
Rio Grande do Sul,2011-01,1.0,2,2011-06
Amazonas,2011-01,2.0,21,2011-06
Amazonas,2011-01,Sem informacao,9924,2011-06
Amazonas,2011-01,4.0,24,2011-06
Amazonas,2011-01,3.0,1,2011-06
Rio de Janeiro,2011-01,Sem informacao,5425,2011-06
Amazonas,2011-01,1.0,35,2011-06
Sergipe,2011-01,Sem informacao,358,2011-06
Ceará,2011-01,4.0,4,2011-06
Ceará,2011-01,1.0,16,2011-06
Rio de Janeiro,2011-01,1.0,40,2011-06
Rio de Janeiro,2011-01,2.0,3,2011-06
Rio de Janeiro,2011-01,4.0,3,2011-06
Ceará,2011-01,Sem informacao,8111,2011-06
Pernambuco,2011-02,Sem informacao,3137,2011-06
Roraima,2011-02,4.0,1,2011-06
Pernambuco,2011-02,4.0,2,2011-06
Pernambuco,2011-02,3.0,1,2011-06
Roraima,2011-02,Sem informacao,277,2011-06
Mato Grosso,2011-02,Sem informacao,1492,2011-06
Roraima,2011-02,1.0,4,2011-06
Paraná,2011-02,Sem informacao,13120,2011-06
Bahia,2011-02,4.0,4,2011-06
Pernambuco,2011-02,2.0,1,2011-06
Pernambuco,2011-02,1.0,9,2011-06
Paraná,2011-02,1.0,18,2011-06
Mato Grosso,2011-02,1.0,4,2011-06
Bahia,2011-02,Sem informacao,5477,2011-06
Bahia,2011-02,2.0,9,2011-06
Piauí,2011-02,1.0,15,2011-06
Maranhão,2011-02,1.0,4,2011-06
Piauí,2011-02,Sem informacao,1515,2011-06
Amazonas,2011-02,Sem informacao,21929,2011-06
Amazonas,2011-02,4.0,20,2011-06
Amazonas,2011-02,3.0,4,2011-06
Amazonas,2011-02,2.0,68,2011-06
Amazonas,2011-02,1.0,56,2011-06
Sergipe,2011-02,Sem informacao,529,2011-06
Paraíba,2011-02,1.0,26,2011-06
Paraíba,2011-02,4.0,1,2011-06
Paraíba,2011-02,Sem informacao,1879,2011-06
Amapá,2011-02,Sem informacao,1052,2011-06
Amapá,2011-02,1.0,2,2011-06
São Paulo,2011-02,1.0,80,2011-06
São Paulo,2011-02,2.0,2,2011-06
Piauí,2011-02,4.0,1,2011-06
São Paulo,2011-02,4.0,2,2011-06
Rio Grande do Norte,2011-02,1.0,30,2011-06
Rio Grande do Norte,2011-02,2.0,8,2011-06
Rio Grande do Norte,2011-02,4.0,3,2011-06
Rio Grande do Norte,2011-02,Sem informacao,2695,2011-06
Maranhão,2011-02,Sem informacao,2285,2011-06
Maranhão,2011-02,2.0,1,2011-06
Minas Gerais,2011-02,Sem informacao,9201,2011-06
Santa Catarina,2011-02,Sem informacao,112,2011-06
Santa Catarina,2011-02,1.0,1,2011-06
Pará,2011-02,1.0,21,2011-06
Pará,2011-02,2.0,5,2011-06
Pará,2011-02,4.0,9,2011-06
Pará,2011-02,Sem informacao,6773,2011-06
São Paulo,2011-02,Sem informacao,22443,2011-06
Minas Gerais,2011-02,2.0,2,2011-06
Bahia,2011-02,1.0,139,2011-06
Ceará,2011-02,Sem informacao,13179,2011-06
Distrito Federal,2011-02,1.0,1,2011-06
Distrito Federal,2011-02,Sem informacao,772,2011-06
Rio Grande do Sul,2011-02,Sem informacao,256,2011-06
Rio Grande do Sul,2011-02,1.0,2,2011-06
Rio de Janeiro,2011-02,Sem informacao,17702,2011-06
