Período,Sorotipo,Casos,Ano,CasosExtrap,Porcentagem
2018-04,4,1,2018-06,503.0,0.68
2018-04,1,68,2018-06,34193.0,45.95
2018-04,2,79,2018-06,39724.0,53.38
2018-05,1,55,2018-06,20697.0,31.61
2018-05,2,113,2018-06,42524.0,64.94
2018-05,3,1,2018-06,376.0,0.57
2018-05,4,5,2018-06,1882.0,2.87
2018-06,1,30,2018-06,18057.0,47.62
2018-06,2,31,2018-06,18659.0,49.21
2018-06,3,2,2018-06,1204.0,3.18
2018-07,4,2,2018-06,935.0,3.57
2018-07,2,27,2018-06,12623.0,48.21
2018-07,1,27,2018-06,12623.0,48.21
2018-08,1,31,2018-06,13821.0,64.58
2018-08,2,17,2018-06,7580.0,35.42
2018-09,1,13,2018-06,10156.0,61.9
2018-09,2,7,2018-06,5469.0,33.34
2018-09,4,1,2018-06,781.0,4.76
2018-10,1,33,2018-06,12537.0,57.9
2018-10,2,24,2018-06,9117.0,42.1
2018-11,3,1,2018-06,248.0,0.9
2018-11,2,65,2018-06,16112.0,58.56
2018-11,1,45,2018-06,11155.0,40.54
2018-12,1,45,2018-06,7477.0,18.07
2018-12,2,203,2018-06,33728.0,81.53
2018-12,4,1,2018-06,166.0,0.4
2019-01,1,259,2019-06,22260.0,22.58
2019-01,2,872,2019-06,74946.0,76.02
2019-01,3,2,2019-06,172.0,0.17
2019-01,4,14,2019-06,1203.0,1.22
2019-02,4,10,2019-06,1137.0,0.63
2019-02,3,1,2019-06,114.0,0.06
2019-02,2,1060,2019-06,120498.0,66.67
2019-02,1,519,2019-06,58999.0,32.64
2019-03,1,590,2019-06,94515.0,31.69
2019-03,2,1244,2019-06,199283.0,66.81
2019-03,4,28,2019-06,4485.0,1.5
2019-04,1,860,2019-06,147636.0,29.34
2019-04,2,1911,2019-06,328062.0,65.2
2019-04,3,4,2019-06,687.0,0.14
2019-04,4,156,2019-06,26781.0,5.32
2019-05,4,154,2019-06,32560.0,5.74
2019-05,2,1637,2019-06,346104.0,61.06
2019-05,1,889,2019-06,187957.0,33.16
2019-05,3,1,2019-06,211.0,0.04
2019-06,1,382,2019-06,110173.0,44.42
2019-06,2,452,2019-06,130362.0,52.56
2019-06,4,26,2019-06,7499.0,3.02
2019-07,1,236,2019-06,64081.0,57.0
2019-07,2,170,2019-06,46160.0,41.06
2019-07,3,1,2019-06,272.0,0.24
2019-07,4,7,2019-06,1901.0,1.69
2019-08,4,1,2019-06,262.0,0.43
2019-08,1,121,2019-06,31735.0,52.61
2019-08,2,107,2019-06,28063.0,46.52
2019-08,3,1,2019-06,262.0,0.43
2019-09,1,71,2019-06,23912.0,52.59
2019-09,2,62,2019-06,20881.0,45.93
2019-09,4,2,2019-06,674.0,1.48
2019-10,2,61,2019-06,21460.0,48.41
2019-10,4,1,2019-06,352.0,0.79
2019-10,1,64,2019-06,22516.0,50.79
2019-11,4,1,2019-06,169.0,0.36
